,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
0,1891276121758667233,Sun Feb 16 23:59:00 +0000 2025,0,Misbakhun Soal Coretax Sering Bermasalah: Hapus Sanksi Ditjen Pajak Tanggung Jawab! #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia https://t.co/3aGNzBgujx,1891276121758667233,,,in,"DKI Jakarta, Indonesia",0,1,4,https://x.com/golkarpedia/status/1891276121758667233,721898354502930433,golkarpedia
1,1891273979349881235,Sun Feb 16 23:50:29 +0000 2025,0,@DitjenPajakRI Hai Mimin pajak error ini kenapa ya kami sudah 1 minggu ini seperti ini dan tidak bisa melakukan pembayaran pph21. Rekan rekan saya juga masih banyak yg tidak bis bayar pph 21. Solusi min. Kita ingin bayar tepat waktu Tp kendala selalu di coretax https://t.co/0MA9jjXGoE,1891273979349881235,https://pbs.twimg.com/media/Gj8npw7aYAAJ7dm.jpg,DitjenPajakRI,in,,0,0,0,https://x.com/EkaWinahyu/status/1891273979349881235,1478180198109442048,EkaWinahyu
2,1891273773036298535,Sun Feb 16 23:49:40 +0000 2025,0,@kring_pajak mau bertanya kalau sebuah PT sebelumnya memiliki NPWP yang berbeda (pabrik) untuk melaporkan PPH 21 pegawai apakah saat lapor di coretax bagian NITKU pemotong diisi dengan NITKU cabang atau tetap NITKU PUSAT?,1891273773036298535,,kring_pajak,in,skh tapi kalo ditanya jwb solo,0,1,0,https://x.com/SiMartabak/status/1891273773036298535,1177024847383105537,SiMartabak
3,1891273568081600529,Sun Feb 16 23:48:51 +0000 2025,1,#KawanPajak kini telah tersedia panduan Coretax DJP bagi penanggung jawab (PIC) impersonate dan penambahan role akses bagi wajib pajak badan. Silakan unduh pada tautan https://t.co/Y7Uf34FutB. https://t.co/QcQHCSU6En,1891273568081600529,https://pbs.twimg.com/media/Gj8nQXDaIAAsrx-.jpg,,in,"Bengkalis, Riau, Indonesia",0,1,0,https://x.com/pajakduri/status/1891273568081600529,1222732851356954625,pajakduri
4,1891231719816036803,Sun Feb 16 21:02:34 +0000 2025,0,Min berdasarkan info ini selanjutnya bikin faktur tetep masih bisa di coretax atau emang pindah ke efaktur client desktop? @kring_pajak,1891231719816036803,,,in,,0,1,0,https://x.com/dumboyeolie/status/1891231719816036803,348345970,dumboyeolie
5,1890409216109609376,Sun Feb 16 18:14:07 +0000 2025,0,@cecep9043 @lantip @KejaksaanRI @KPK_RI @bpkri Iya harusnya kaya coretax habis 1. 3 trilyun tp malah membingungkan yg mau bayar pajak,1891189331307397410,,cecep9043,in,Indonesia,0,0,0,https://x.com/d380no/status/1891189331307397410,60903482,d380no
6,1891172220161986692,Sun Feb 16 17:06:08 +0000 2025,7,wajib punya npwp utk kebutuhan kantor web coretax bermasalah jadinya ke kantor pajak di kantor pajak pegawainya ngasih form disuruh datang besoknya lg besoknya datang pukul 10 katanya kuota sudah habis disuruh datang lagi besok pukul 7.30,1891172220161986692,,,in,,0,2,0,https://x.com/roemahsemoet/status/1891172220161986692,1341604355951140864,roemahsemoet
7,1891171833153511646,Sun Feb 16 17:04:35 +0000 2025,0,Ngab @kring_pajak kok di coretax menu tagihan pajak muncul tagihan pajak dari tahun2 lalu padahal kita ga ngerasa terima STP. Buat crosschecknya gmn ya?,1891171833153511646,,,in,"Surakarta, Jawa Tengah",0,2,0,https://x.com/SuryaWputra/status/1891171833153511646,1184641327452971009,SuryaWputra
8,1891170419387793524,Sun Feb 16 16:58:58 +0000 2025,0,@kring_pajak halo mau tanya kalau mau buat faktur untuk op harus pakai nik juga kah? Soalnya pakai npwp datanya gak ketemu di coretax terus untuk isi NIKnya di bagian Nomor Dokumen atau bukan ya di data lawan transaksinya?,1891170419387793524,,kring_pajak,in,ina/eng/한,0,1,0,https://x.com/wookxian/status/1891170419387793524,94770673,wookxian
9,1891168494877634789,Sun Feb 16 16:51:20 +0000 2025,0,Prosedurnya bagaimana? Apakah fp yg kita input di efaktur otomatis masuk ke coretax? @kring_pajak,1891168494877634789,,,in,TNG,0,1,0,https://x.com/YaptoArie_/status/1891168494877634789,1282161194,YaptoArie_
10,1891154842439057521,Sun Feb 16 15:57:05 +0000 2025,0,Proses kurleb 150.000an faktur pajak keluaran di coretax mual bgt gue,1891154842439057521,,,in,,0,1,0,https://x.com/nainaaaaaz/status/1891154842439057521,1518509006901628929,nainaaaaaz
11,1891154387747082509,Sun Feb 16 15:55:16 +0000 2025,0,#KawanPajak pembuatan faktur pajak keluaran dengan kode faktur 04 DPP Nilai Lain sesuai dengan PMK-131/2024 dan PER-1/PJ/2025 kini dapat dilakukan menggunakan Coretax DJP. Simak infografis berikut untuk informasi lebih lanjut! https://t.co/Yonc4cvjqB,1891154387747082509,https://pbs.twimg.com/media/Gj656JJbYAA2K5i.jpg,,in,"Bengkalis, Riau, Indonesia",0,1,0,https://x.com/pajakduri/status/1891154387747082509,1222732851356954625,pajakduri
12,1891151584387535172,Sun Feb 16 15:44:16 +0000 2025,0,Selanjutnya impor pada Coretax DJP masuk pada menu eFaktur modul pajak keluaran lalu impor data. https://t.co/C0mSsBi44A,1891151617166053726,https://pbs.twimg.com/media/Gj64XhwbUAAtOxf.jpg,pajakduri,in,"Bengkalis, Riau, Indonesia",0,1,0,https://x.com/pajakduri/status/1891151617166053726,1222732851356954625,pajakduri
13,1891151584387535172,Sun Feb 16 15:44:08 +0000 2025,0,#KawanPajak membuat faktur pajak dalam jumlah banyak dengan mudah melalui skema impor file XML di Coretax DJP. https://t.co/lEjPd6nXt4,1891151584387535172,https://pbs.twimg.com/media/Gj62DpibUAAi26Z.jpg,,in,"Bengkalis, Riau, Indonesia",0,1,0,https://x.com/pajakduri/status/1891151584387535172,1222732851356954625,pajakduri
14,1891150606212980967,Sun Feb 16 15:40:15 +0000 2025,0,@kring_pajak Mau bikin kode billing buat bayar PPh yang kurang dibayar (PPh pasal 29) lewat coretax gimana caranya? Kalau menggunakan Layanan Mandiri Pembuatan Kode Billing kode KAP - KJSnya yang mana? Coba bikin biling lewat djponline dapet error RKMSSP03 https://t.co/KYxREJJH8h,1891150606212980967,https://pbs.twimg.com/media/Gj63AkTaoAAHTGu.png,kring_pajak,in,,0,1,0,https://x.com/iboht/status/1891150606212980967,1494120553740857345,iboht
15,1890212093783339376,Sun Feb 16 15:28:30 +0000 2025,1,@kring_pajak saya udah stress krn coretax nya error terus makin stress krn ditambah dapat jawaban seperti ini yang bukannya mempermudah malah mempersulit. ini saya mau nyetor duit ke kalian loh bukan mau malak. sekalian pajaknya gausah saya bayarin aja gimana?,1891147653112574032,,kring_pajak,in,"Semarang, Jawa Tengah",0,1,0,https://x.com/SeptyaNurfa/status/1891147653112574032,2329610431,SeptyaNurfa
16,1889880525860643247,Sun Feb 16 15:27:14 +0000 2025,0,@rendrasd Aku belum malah itu kmu lapor via coretax atau ke kantor pajak mas? kmren aku abis minta nomer EFIN trus masuk ke DJP email-nya beda pling nnti rubah di coretaxnya aja kali ya,1891147330859966601,,rendrasd,in,Jakarta Timur,0,1,0,https://x.com/Ragata90/status/1891147330859966601,1301069523441778689,Ragata90
17,1891143967971938796,Sun Feb 16 15:13:53 +0000 2025,0,Pada Coretax DJP terdapat tiga skema terbaru pembuatan kode billing yaitu terkait SPT Tagihan Pajak dan setor sendiri. https://t.co/iANxTbxEQN,1891143972409528753,https://pbs.twimg.com/media/Gj6uu8XawAAAcfB.jpg,pajakduri,in,"Bengkalis, Riau, Indonesia",0,1,0,https://x.com/pajakduri/status/1891143972409528753,1222732851356954625,pajakduri
18,1891143967971938796,Sun Feb 16 15:13:52 +0000 2025,0,#KawanPajak Ingin tahu cara praktis untuk membuat kode billing di Coretax DJP? Pada Coretax DJP terdapat tiga skema terbaru pembuatan kode billing yaitu terkait SPT Tagihan Pajak dan setor sendiri. Simak selengkapnya pada infografis berikut! https://t.co/IKTRWn9QJZ,1891143967971938796,https://pbs.twimg.com/media/Gj6uovYbUAAL_hg.jpg,,in,"Bengkalis, Riau, Indonesia",0,1,0,https://x.com/pajakduri/status/1891143967971938796,1222732851356954625,pajakduri
19,1891142647076495409,Sun Feb 16 15:08:37 +0000 2025,8,Consultant pemenang tender coretax lagi summit di KL tuk region AsPac. para staf lokal Vanuatu dari lembaga Konsultan dimaksud sedang pamer di insta stories 4 hari terakhir saat warga Vanuatu bingung lapor pajak gimana caranya dengan coretax yang mbuh ,1891142647076495409,,,in,الولايات المتحدة,0,0,5,https://x.com/mynameprada/status/1891142647076495409,1152110797293670401,mynameprada
20,1891065152406987226,Sun Feb 16 14:30:37 +0000 2025,0,@NewdaysME @kring_pajak website coretax ya kak coretax gada aplikasinya,1891133082264051730,,NewdaysME,in,,0,1,0,https://x.com/ameeellss/status/1891133082264051730,1781491549295243264,ameeellss
21,1891036748953903141,Sun Feb 16 14:28:22 +0000 2025,1,@santoz92725 @ronaldy596 Dia itu penghianat. Dosen UGM. Wakil ketua komite pengawas perpajakan. Penghianat penyusun dirty vote. Disaat coretax pajak bermasalah tidak ada satupun influencer twitter atau LSM atau NGO yg bertanya ke dia ini. Dia termasuk lingkar dalam pemerintah https://t.co/3DAUJaoJrk,1891132519656870284,https://pbs.twimg.com/media/Gj6m_sPbAAAF-nE.jpg,santoz92725,in,ada dimana mana,0,0,0,https://x.com/Graminale/status/1891132519656870284,1071545084,Graminale
22,1891129509543370856,Sun Feb 16 14:22:57 +0000 2025,0,@soulVENUSS Yel-Yel Bian Coretax Venus Pajak Hati! ️ ⌨️ Server down sistem sibuk tapi hati Bian tetap tekun! Tagihan cinta jatuh tempo Venus harus kasih jawaban pronto! @arumaraga,1891131155321143551,,soulVENUSS,in,,0,1,2,https://x.com/kotabim/status/1891131155321143551,2759011666,kotabim
23,1891129106198110213,Sun Feb 16 14:14:49 +0000 2025,1, Yel-Yel @bianwicaksana Coretax @soulVENUSS Pajak Hati! ️ ⌨️ Server down sistem sibuk tapi hati Bian tetap tekun! Tagihan cinta jatuh tempo Venus harus kasih jawaban pronto! ,1891129106198110213,,,in,Not Real.,4,1,3,https://x.com/arumaraga/status/1891129106198110213,874763741254078464,arumaraga
24,1891060195683627208,Sun Feb 16 14:14:34 +0000 2025,9,@papanberjalan Menunggu judul headline Mega Korupsi Pajak via Coretax ,1891129043988197801,,papanberjalan,in,"Jakarta Capital Region, Indone",0,0,1,https://x.com/Ketctard/status/1891129043988197801,1035535952788115456,Ketctard
25,1891128225230704932,Sun Feb 16 14:12:39 +0000 2025,0,@kring_pajak saat upload daftar rincian kend bermotor ke spt ppn coretax terjadi error 'NPWP pembeli tidak valid' sementara saya cek kembali pajak keluaran pembeli telah berhasil approved dan NPWP valid. harap dicekkkk dan beri solusi bila smp tgl 27 feb msh blm bs impor https://t.co/Cu3EOV39nS,1891128564545626327,https://pbs.twimg.com/media/Gj6ibEja8AAzpc0.png,dewi_ms,in,,0,1,0,https://x.com/dewi_ms/status/1891128564545626327,78803576,dewi_ms
26,1891128225230704932,Sun Feb 16 14:11:19 +0000 2025,0,@kring_pajak saat upload daftar rincian kend bermotor ke spt ppn coretax terjadi error 'NPWP pembeli tidak valid' sementara saya cek kembali pajak keluaran pembeli telah berhasil approved dan NPWP valid. harap dicekkkk dan beri solusi bila smp tgl 27 Januari msh blm bs impor https://t.co/aqFkoEn0cK,1891128225230704932,https://pbs.twimg.com/media/Gj6ibEja8AAzpc0.png,kring_pajak,in,,0,1,0,https://x.com/dewi_ms/status/1891128225230704932,78803576,dewi_ms
27,1882709569702695137,Sun Feb 16 14:06:07 +0000 2025,0,@gg_02022020 Baca ini setelah berusaha nerbitkan bupot pph 21 yg msh blm bisa dan kompensasi pajak 2024 yg blm muncul di coretax makin geram gw.,1891126916804997594,,gg_02022020,in,"Bekasi, West Java",0,1,0,https://x.com/wikentut/status/1891126916804997594,266502498,wikentut
28,1891121584238211390,Sun Feb 16 13:44:55 +0000 2025,0,#KawanPajak password Coretax DJP adalah tanggung jawab personal setiap Wajib Pajak. Jaga kerahasiaan password dan passphrase untuk melindungi data perpajakan. Hindari membagikan informasi ini kepada siapa pun termasuk pihak yang tidak berwenang. Mari bersama wujudkan keamanan https://t.co/e9XrGEN4XL,1891121584238211390,https://pbs.twimg.com/media/Gj6angkboAATB1E.jpg,,in,"Bengkalis, Riau, Indonesia",0,0,0,https://x.com/pajakduri/status/1891121584238211390,1222732851356954625,pajakduri
29,1890379779880145357,Sun Feb 16 13:43:42 +0000 2025,0,@thehelenas @kring_pajak aduh stress bgt kak coretax mau bayar sistem nya gak dukung endingnya tetep denda lagi :',1891121277437436182,,thehelenas,in,,0,0,0,https://x.com/rachlovea/status/1891121277437436182,1750017924,rachlovea
30,1890593477802553807,Sun Feb 16 13:37:57 +0000 2025,0,@halfbprincess @kring_pajak SPT PPh 21 yg lebih bayar masa des 24 ya kak? udh ada masuk di coretax nya blm kak yg di SPT Dilaporkan,1891119829274247511,,halfbprincess,in,0104 •she/her,0,1,0,https://x.com/rutoooha/status/1891119829274247511,1020220088908054528,rutoooha
